date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:43:15	237/237	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Dec%202020%2014:43:16%20GMT	http://themes.rokaux.com/unishop/v3.2.1/template-1/checkout.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/checkout.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:16	45223/45223	---M-Z	200	added ('OK')	text/html	etag:%22967548-b0a7-5907432b524ed%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/account-login.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/account-login.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:16	42503/42503	---M-Z	200	added ('OK')	text/html	etag:%2296754a-a607-5907432bab2be%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/account-password-recovery.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/account-password-recovery.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:17	46161/46161	---M-Z	200	added ('OK')	text/html	etag:%22967550-b451-5907432d00f44%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/account-wishlist.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/account-wishlist.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:17	45328/45328	---M-Z	200	added ('OK')	text/html	etag:%2296754b-b110-5907432bed933%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/account-profile.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/account-profile.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:17	46067/46067	---M-Z	200	added ('OK')	text/html	etag:%22967547-b3f3-5907432b5ffab%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/account-address.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/account-address.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:18	248/248	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Dec%202020%2014:43:18%20GMT	http://themes.rokaux.com/unishop/v3.2.1/template-1/account-open-ticket.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/account-open-ticket.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:20	47529/47529	---M-Z	200	added ('OK')	text/html	etag:%2296754f-b9a9-5907432cd020d%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/account-tickets.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/account-tickets.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:20	48657/48657	---M-Z	200	added ('OK')	text/html	etag:%2296754c-be11-5907432c62c1f%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/account-single-ticket.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/account-single-ticket.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:21	54807/54807	---M-Z	200	added ('OK')	text/html	etag:%22967553-d617-5907432d7df2f%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/blog-rs.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/blog-rs.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:22	54914/54914	---M-Z	200	added ('OK')	text/html	etag:%22967551-d682-5907432d35afb%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/blog-ls.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/blog-ls.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:22	46993/46993	---M-Z	200	added ('OK')	text/html	etag:%22967552-b791-5907432d5cbf5%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/blog-ns.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/blog-ns.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:23	60857/60857	---M-Z	200	added ('OK')	text/html	etag:%22967557-edb9-5907432e33951%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/blog-single-rs.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/blog-single-rs.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:23	60876/60876	---M-Z	200	added ('OK')	text/html	etag:%22967555-edcc-5907432e4bfec%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/blog-single-ls.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/blog-single-ls.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:24	53071/53071	---M-Z	200	added ('OK')	text/html	etag:%22967556-cf4f-5907432e02c19%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/blog-single-ns.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/blog-single-ns.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:24	48511/48511	---M-Z	200	added ('OK')	text/html	etag:%22967546-bd7f-5907432b0335a%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/about.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/about.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:24	239/239	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Dec%202020%2014:43:25%20GMT	http://themes.rokaux.com/unishop/v3.2.1/template-1/mobile-app.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/mobile-app.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:25	237/237	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Dec%202020%2014:43:25%20GMT	http://themes.rokaux.com/unishop/v3.2.1/template-1/services.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/services.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:25	44140/44140	---M-Z	200	added ('OK')	text/html	etag:%22967563-ac6c-5907432feeec6%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/contacts.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/contacts.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:25	51557/51557	---M-Z	200	added ('OK')	text/html	etag:%22967564-c965-590743302983c%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/faq.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/faq.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:26	47146/47146	---M-Z	200	added ('OK')	text/html	etag:%22967569-b82a-5907433292ad4%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/order-tracking.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/order-tracking.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
11:43:26	48913/48913	---M-Z	200	added ('OK')	text/html	etag:%2296756a-bf11-5907433390929%22	http://themes.rokaux.com/unishop/v3.2.1/template-1/search-results.html	C:/Users/Pablo/OneDrive/Site/SIte/themes.rokaux.com/unishop/v3.2.1/template-1/search-results.html	(from http://themes.rokaux.com/unishop/v3.2.1/template-1/)
